timestamp,steps,elapsed_s,steps_per_s,ep_rew_mean,ep_len_mean,entropy_loss,opponent_wld
1781315895,10000,384.3,26.02,-0.86,21.6,-3.2853,peter_d1:1/41/0;peter_d2:2/94/0;peter_d3:0/100/0;random:26/28/0;sp_hist:3/43/0;sp_latest:6/140/0
1781316310,20000,799.9,25.0,-0.84,20.2,-3.249,peter_d1:2/50/0;peter_d2:0/99/0;peter_d3:1/94/0;random:22/21/0;sp_hist:5/45/0;sp_latest:9/162/0
1781316717,30000,1206.7,24.86,-0.8,22.8,-3.2206,peter_d1:1/51/0;peter_d2:1/96/0;peter_d3:0/92/0;random:27/24/0;sp_hist:6/44/0;sp_latest:13/138/0
1781317068,40000,1557.1,25.69,-0.68,19.5,-3.1773,peter_d1:0/46/0;peter_d2:2/110/0;peter_d3:0/89/0;random:44/15/0;sp_hist:3/36/0;sp_latest:6/139/0
1781317503,50000,1992.1,25.1,-0.82,18.6,-3.176,peter_d1:4/42/0;peter_d2:1/102/0;peter_d3:0/103/0;random:20/21/0;sp_hist:4/36/0;sp_latest:9/174/0
1781317873,60000,2362.4,25.4,-0.78,21.6,-3.1183,peter_d1:3/53/0;peter_d2:1/104/0;peter_d3:0/94/0;random:25/14/0;sp_hist:6/42/0;sp_latest:9/133/0
1781318328,70000,2817.2,24.85,-0.82,20.3,-3.0866,peter_d1:2/48/0;peter_d2:1/107/0;peter_d3:0/105/0;random:35/18/0;sp_hist:4/42/0;sp_latest:7/125/0
1781318784,80000,3273.2,24.44,-0.78,20.3,-3.0574,peter_d1:1/49/0;peter_d2:1/90/0;peter_d3:0/95/0;random:34/14/0;sp_hist:5/44/0;sp_latest:16/137/0
1781319231,90000,3720.2,24.19,-0.68,21.5,-3.0341,peter_d1:3/57/0;peter_d2:1/91/0;peter_d3:2/110/0;random:33/19/0;sp_hist:11/36/0;sp_latest:18/145/0
1781319757,100000,4247.0,23.55,-0.72,19.5,-3.0166,peter_d1:1/41/0;peter_d2:2/98/0;peter_d3:0/124/0;random:26/22/0;sp_hist:6/34/0;sp_latest:27/143/0
1781320160,110000,4650.0,23.66,-0.44,23.5,-2.9661,peter_d1:1/36/0;peter_d2:3/85/0;peter_d3:0/95/0;random:40/11/0;sp_hist:8/33/0;sp_latest:64/76/0
1781320547,120000,5036.8,23.82,-0.46,20.2,-2.9116,peter_d1:2/36/0;peter_d2:1/87/0;peter_d3:0/86/0;random:33/16/0;sp_hist:10/42/0;sp_latest:88/67/0
1781320967,130000,5456.8,23.82,-0.6,23.5,-2.9143,peter_d1:2/46/0;peter_d2:3/91/0;peter_d3:1/89/0;random:33/8/0;sp_hist:8/35/0;sp_latest:70/54/0
1781321362,140000,5851.7,23.92,-0.54,20.6,-2.9067,peter_d1:2/36/0;peter_d2:2/90/0;peter_d3:1/91/0;random:31/15/0;sp_hist:7/34/0;sp_latest:67/58/0
1781321806,150000,6295.5,23.83,-0.38,23.1,-2.8586,peter_d1:6/39/0;peter_d2:3/78/0;peter_d3:0/89/0;random:35/6/0;sp_hist:9/28/0;sp_latest:77/56/0
1781322175,160000,6664.5,24.01,-0.38,20.7,-2.8345,peter_d1:1/39/0;peter_d2:1/78/0;peter_d3:0/100/0;random:29/8/0;sp_hist:11/33/0;sp_latest:99/53/0
1781322580,170000,7069.8,24.05,-0.3,22.4,-2.8421,peter_d1:1/41/0;peter_d2:2/67/0;peter_d3:0/91/0;random:40/19/0;sp_hist:7/26/0;sp_latest:94/46/0
1781322942,180000,7432.0,24.22,-0.4,23.3,-2.8469,peter_d1:2/34/0;peter_d2:3/79/0;peter_d3:0/88/0;random:42/4/0;sp_hist:15/30/0;sp_latest:89/39/0
1781323297,190000,7786.9,24.4,-0.28,20.2,-2.7967,peter_d1:1/37/0;peter_d2:2/78/0;peter_d3:1/81/0;random:33/11/0;sp_hist:10/33/0;sp_latest:106/30/0
1781323665,200000,8154.5,24.53,-0.28,24.5,-2.7366,peter_d1:3/55/0;peter_d2:4/90/0;peter_d3:0/83/0;random:29/10/0;sp_hist:13/36/0;sp_latest:83/28/0
1781324061,210000,8550.5,24.56,-0.44,21.8,-2.7361,peter_d1:4/42/0;peter_d2:7/71/0;peter_d3:1/90/0;random:23/10/0;sp_hist:11/30/0;sp_latest:81/63/0
1781324449,220000,8938.1,24.61,-0.36,24.6,-2.7448,peter_d1:3/41/0;peter_d2:17/71/0;peter_d3:1/77/0;random:39/8/0;sp_hist:12/31/0;sp_latest:72/54/0
1781324839,230000,9328.5,24.66,-0.34,22.6,-2.758,peter_d1:2/42/0;peter_d2:16/69/0;peter_d3:1/88/0;random:31/5/0;sp_hist:15/25/0;sp_latest:76/56/0
1781325313,240000,9802.1,24.48,-0.32,24.7,-2.7653,peter_d1:3/40/0;peter_d2:17/79/0;peter_d3:1/92/0;random:32/6/0;sp_hist:12/23/0;sp_latest:58/45/0
1781325742,250000,10231.3,24.43,-0.32,21.1,-2.6958,peter_d1:1/55/0;peter_d2:25/67/0;peter_d3:1/89/0;random:40/11/0;sp_hist:12/35/0;sp_latest:72/60/0
1781326168,260000,10657.9,24.4,-0.26,20.1,-2.6488,peter_d1:5/36/0;peter_d2:32/69/0;peter_d3:0/91/0;random:48/11/0;sp_hist:15/39/0;sp_latest:72/62/0
1781326575,270000,11064.5,24.4,-0.32,21.5,-2.6789,peter_d1:1/58/0;peter_d2:20/55/0;peter_d3:2/91/0;random:40/8/0;sp_hist:13/35/0;sp_latest:97/46/0
1781327049,280000,11538.6,24.27,-0.28,20.0,-2.623,peter_d1:3/36/0;peter_d2:25/70/0;peter_d3:0/104/0;random:34/10/0;sp_hist:12/34/0;sp_latest:116/55/0
1781327513,290000,12002.2,24.16,-0.34,20.8,-2.6245,peter_d1:1/48/0;peter_d2:30/54/0;peter_d3:1/105/0;random:41/13/0;sp_hist:14/41/0;sp_latest:97/33/0
1781327961,300000,12450.8,24.09,-0.16,17.8,-2.6346,peter_d1:3/43/0;peter_d2:25/82/0;peter_d3:3/105/0;random:43/9/0;sp_hist:13/32/0;sp_latest:120/23/0
1781328447,310000,12937.0,23.96,-0.24,19.4,-2.6184,peter_d1:1/47/0;peter_d2:34/62/0;peter_d3:0/102/0;random:43/12/0;sp_hist:43/12/0;sp_latest:67/68/0
1781328889,320000,13378.7,23.92,-0.28,20.7,-2.567,peter_d1:2/59/0;peter_d2:44/66/0;peter_d3:0/94/0;random:53/11/0;sp_hist:37/11/0;sp_latest:72/64/0
1781329332,330000,13822.0,23.88,-0.3,19.2,-2.614,peter_d1:0/40/0;peter_d2:45/65/0;peter_d3:1/96/0;random:37/9/0;sp_hist:45/11/0;sp_latest:90/73/0
1781329818,340000,14307.8,23.76,-0.12,21.6,-2.6226,peter_d1:3/36/0;peter_d2:42/56/0;peter_d3:0/113/0;random:51/13/0;sp_hist:33/10/0;sp_latest:72/51/0
1781330338,350000,14827.2,23.61,0.02,20.2,-2.5859,peter_d1:2/55/0;peter_d2:43/53/0;peter_d3:0/102/0;random:40/10/0;sp_hist:42/11/0;sp_latest:93/61/0
